v8-version,5,8,283,41,0
code-creation,Handler,4,0xf847cb12860,256,"An IC handler from the snapshot"
code-creation,Stub,16,0xf847cb12960,232,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb12a60,2284,"RecordWriteStub"
code-creation,Stub,3,0xf847cb13360,2288,"RecordWriteStub"
code-creation,Stub,3,0xf847cb13c60,2250,"RecordWriteStub"
code-creation,Stub,16,0xf847cb14540,391,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb146e0,2265,"RecordWriteStub"
code-creation,Stub,17,0xf847cb14fc0,179,"CompareICStub"
code-creation,Stub,16,0xf847cb15080,196,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb15160,196,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb15240,2275,"RecordWriteStub"
code-creation,Stub,3,0xf847cb15b40,2257,"RecordWriteStub"
code-creation,Stub,3,0xf847cb16420,2272,"RecordWriteStub"
code-creation,Stub,18,0xf847cb16d00,212,"ToBooleanICStub"
code-creation,Stub,3,0xf847cb16de0,2253,"RecordWriteStub"
code-creation,Stub,3,0xf847cb176c0,2241,"RecordWriteStub"
code-creation,Stub,3,0xf847cb17fa0,2326,"RecordWriteStub"
code-creation,Stub,16,0xf847cb188c0,216,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb189a0,980,"RecordWriteStub"
code-creation,Stub,3,0xf847cb18d80,2241,"RecordWriteStub"
code-creation,Stub,3,0xf847cb19660,2272,"RecordWriteStub"
code-creation,Handler,4,0xf847cb19f40,296,"An IC handler from the snapshot"
code-creation,Stub,3,0xf847cb1a080,2295,"RecordWriteStub"
code-creation,Stub,16,0xf847cb1a980,196,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb1aa60,2285,"RecordWriteStub"
code-creation,Stub,16,0xf847cb1b360,272,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb1b480,391,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb1b620,419,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb1b7e0,423,"BinaryOpICStub"
code-creation,Handler,4,0xf847cb1b9a0,688,"An IC handler from the snapshot"
code-creation,Stub,3,0xf847cb1bc60,2254,"RecordWriteStub"
code-creation,Handler,4,0xf847cb1c540,688,"An IC handler from the snapshot"
code-creation,Stub,16,0xf847cb1c800,268,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb1c920,141,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb1c9c0,895,"RegExpExecStub"
code-creation,Stub,3,0xf847cb1cd40,1617,"GetPropertyStub"
code-creation,Builtin,5,0xf847cb1d3a0,238,"Call_ReceiverIsAny"
code-creation,Builtin,5,0xf847cb1d4a0,384,"CallFunction_ReceiverIsAny"
code-creation,Stub,3,0xf847cb1d620,2300,"RecordWriteStub"
code-creation,Stub,3,0xf847cb1df20,2269,"RecordWriteStub"
code-creation,Stub,3,0xf847cb1e800,2254,"RecordWriteStub"
code-creation,Stub,3,0xf847cb1f0e0,189,"DoubleToIStub"
code-creation,Stub,16,0xf847cb1f1a0,427,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb1f360,216,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb1f440,196,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb1f520,2291,"RecordWriteStub"
code-creation,Stub,16,0xf847cb1fe20,268,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb1ff40,196,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb20020,240,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb20120,272,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb20240,451,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb20420,2275,"RecordWriteStub"
code-creation,Stub,3,0xf847cb20d20,980,"RecordWriteStub"
code-creation,Stub,16,0xf847cb21100,208,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb211e0,2229,"RecordWriteStub"
code-creation,Stub,3,0xf847cb21aa0,387,"CreateWeakCellStub"
code-creation,Stub,3,0xf847cb21c40,2292,"RecordWriteStub"
code-creation,Stub,16,0xf847cb22540,141,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb225e0,304,"BinaryOpICStub"
code-creation,Handler,4,0xf847cb22720,732,"An IC handler from the snapshot"
code-creation,Stub,3,0xf847cb22a00,2266,"RecordWriteStub"
code-creation,Stub,16,0xf847cb232e0,268,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb23400,2276,"RecordWriteStub"
code-creation,Stub,3,0xf847cb23d00,2263,"RecordWriteStub"
code-creation,Stub,3,0xf847cb245e0,365,"CEntryStub"
code-creation,Stub,16,0xf847cb24760,427,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb24920,2242,"RecordWriteStub"
code-creation,Handler,4,0xf847cb25200,308,"An IC handler from the snapshot"
code-creation,Stub,16,0xf847cb25340,196,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb25420,982,"RecordWriteStub"
code-creation,Stub,3,0xf847cb25800,1004,"RecordWriteStub"
code-creation,Stub,3,0xf847cb25c00,1808,"StringAddStub"
code-creation,Stub,3,0xf847cb26320,1038,"CallICStub"
code-creation,Stub,3,0xf847cb26740,980,"RecordWriteStub"
code-creation,Stub,3,0xf847cb26b20,342,"JSEntryStub"
code-creation,Stub,3,0xf847cb26c80,124,"CallICTrampolineStub"
code-creation,Stub,3,0xf847cb26d00,2317,"RecordWriteStub"
code-creation,Stub,3,0xf847cb27620,1403,"RecordWriteStub"
code-creation,Stub,3,0xf847cb27ba0,1412,"RecordWriteStub"
code-creation,Stub,16,0xf847cb28140,268,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb28260,455,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb28440,196,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb28520,304,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb28660,972,"RecordWriteStub"
code-creation,Stub,3,0xf847cb28a40,2254,"RecordWriteStub"
code-creation,Stub,3,0xf847cb29320,2284,"RecordWriteStub"
code-creation,Stub,16,0xf847cb29c20,141,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb29cc0,183,"DoubleToIStub"
code-creation,Stub,3,0xf847cb29d80,2241,"RecordWriteStub"
code-creation,Stub,16,0xf847cb2a660,196,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb2a740,980,"RecordWriteStub"
code-creation,Stub,16,0xf847cb2ab20,272,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb2ac40,342,"JSEntryStub"
code-creation,Stub,16,0xf847cb2ada0,196,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb2ae80,208,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb2af60,240,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb2b060,2300,"RecordWriteStub"
code-creation,Stub,3,0xf847cb2b960,2266,"RecordWriteStub"
code-creation,Stub,16,0xf847cb2c240,196,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb2c320,276,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb2c440,268,"BinaryOpICStub"
code-creation,Stub,17,0xf847cb2c560,179,"CompareICStub"
code-creation,Stub,3,0xf847cb2c620,2280,"RecordWriteStub"
code-creation,Stub,3,0xf847cb2cf20,2266,"RecordWriteStub"
code-creation,Stub,16,0xf847cb2d800,216,"BinaryOpICStub"
code-creation,Handler,4,0xf847cb2d8e0,744,"An IC handler from the snapshot"
code-creation,Stub,16,0xf847cb2dbe0,395,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb2dd80,423,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,0xf847cb2df40,2265,"RecordWriteStub"
code-creation,Stub,16,0xf847cb2e820,141,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb2e8c0,996,"RecordWriteStub"
code-creation,Stub,16,0xf847cb2ecc0,196,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb2eda0,483,"CreateAllocationSiteStub"
code-creation,Stub,3,0xf847cb2efa0,2269,"RecordWriteStub"
code-creation,Stub,3,0xf847cb2f880,974,"RecordWriteStub"
code-creation,Stub,3,0xf847cb2fc60,2266,"RecordWriteStub"
code-creation,Stub,3,0xf847cb30540,2292,"RecordWriteStub"
code-creation,Handler,4,0xf847cb30e40,780,"An IC handler from the snapshot"
code-creation,Stub,3,0xf847cb31160,2241,"RecordWriteStub"
code-creation,Stub,16,0xf847cb31a40,391,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb31be0,216,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb31cc0,196,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb31da0,141,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb31e40,111,"BinaryOpICWithAllocationSiteStub"
code-creation,Stub,3,0xf847cb31ec0,1260,"BinaryOpWithAllocationSiteStub"
code-creation,Stub,3,0xf847cb323c0,1002,"RecordWriteStub"
code-creation,Stub,16,0xf847cb327c0,216,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb328a0,2242,"RecordWriteStub"
code-creation,Stub,3,0xf847cb33180,1391,"RecordWriteStub"
code-creation,Stub,3,0xf847cb33700,613,"StringAddStub"
code-creation,Builtin,5,0xf847cb33980,298,"NonPrimitiveToPrimitive_Default"
code-creation,Builtin,5,0xf847cb33ac0,364,"OrdinaryToPrimitive_Number"
code-creation,Stub,16,0xf847cb33c40,196,"BinaryOpICStub"
code-creation,Handler,4,0xf847cb33d20,780,"An IC handler from the snapshot"
code-creation,Handler,4,0xf847cb34040,308,"An IC handler from the snapshot"
code-creation,Stub,3,0xf847cb34180,2292,"RecordWriteStub"
code-creation,Stub,3,0xf847cb34a80,2311,"RecordWriteStub"
code-creation,Stub,16,0xf847cb353a0,196,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb35480,357,"MathPowStub"
