Statistical profiling result from isolate-0x29369d0-v8.log, (889 ticks, 63 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.1%    0.1%  Function: ~_tickCallback internal/process/next_tick.js:133:25
      1    0.1%    0.1%  Function: ~_send _http_outgoing.js:231:49
      1    0.1%    0.1%  Function: ~WritableState _stream_writable.js:41:23
      1    0.1%    0.1%  Function: ~WebSocket.onData /var/www/html/LN_Project/Live/checkout/webservices/shuttletracking/nodejs/node_modules/engine.io/lib/transports/websocket.js:77:39
      1    0.1%    0.1%  Function: ~Timeout timers.js:579:17
      1    0.1%    0.1%  Function: ~Socket.setPingTimeout /var/www/html/LN_Project/Live/checkout/webservices/shuttletracking/nodejs/node_modules/engine.io/lib/socket.js:133:44
      1    0.1%    0.1%  Function: ~Socket.read net.js:365:33
      1    0.1%    0.1%  Function: ~Socket.onclose /var/www/html/LN_Project/Live/checkout/webservices/shuttletracking/nodejs/node_modules/socket.io/lib/socket.js:443:36
      1    0.1%    0.1%  Function: ~Socket.end net.js:490:32
      1    0.1%    0.1%  Function: ~Socket net.js:180:16
      1    0.1%    0.1%  Function: ~ResultSetHeaderPacket /var/www/html/LN_Project/Live/checkout/webservices/shuttletracking/nodejs/node_modules/mysql/lib/protocol/packets/ResultSetHeaderPacket.js:2:31
      1    0.1%    0.1%  Function: ~Protocol._emitPacket /var/www/html/LN_Project/Live/checkout/webservices/shuttletracking/nodejs/node_modules/mysql/lib/protocol/Protocol.js:291:42
      1    0.1%    0.1%  Function: ~Protocol._determinePacket /var/www/html/LN_Project/Live/checkout/webservices/shuttletracking/nodejs/node_modules/mysql/lib/protocol/Protocol.js:301:47
      1    0.1%    0.1%  Function: ~PacketWriter.writeUnsignedNumber /var/www/html/LN_Project/Live/checkout/webservices/shuttletracking/nodejs/node_modules/mysql/lib/protocol/PacketWriter.js:48:54
      1    0.1%    0.1%  Function: ~Join native array.js:121:14
      1    0.1%    0.1%  Function: ~FastBuffer buffer.js:33:14
